Date,Open,Close,High,Low
2018-01-01,1300.76,1313.075,1316.08375,1300.6425
2018-01-02,1302.91,1316.5,1318.91,1302.855
2018-01-03,1318.375,1318.875,1321.3,1307.71
2018-01-04,1313.105,1327.875,1327.875,1306.05
2018-01-05,1322.05,1319.59,1323.505,1313.91
2018-01-06,1321.7166666666667,1320.0533333333333,1323.0733333333335,1314.3083333333334
2018-01-07,1321.3833333333332,1320.5166666666667,1322.6416666666667,1314.7066666666667
2018-01-08,1321.05,1320.98,1322.21,1315.105
2018-01-09,1319.755,1311.5,1320.21,1309.355
2018-01-10,1311.91,1310.32,1325.505,1308.96
2018-01-11,1319.3,1325.775,1325.775,1315.91
2018-01-12,1322.46,1335.5,1339.41,1321.96
2018-01-13,1327.0916666666667,1337.2666666666667,1341.1416666666667,1326.7583333333334
2018-01-14,1331.7233333333334,1339.0333333333333,1342.8733333333334,1331.5566666666666
2018-01-15,1336.355,1340.8,1344.605,1336.355
2018-01-16,1339.66,1338.7,1342.355,1331.96
2018-01-17,1339.66,1337.875,1343.91,1326.41
2018-01-18,1328.605,1324.7,1333.21,1324.505
2018-01-19,1328.005,1331.6,1337.855,1327.05
2018-01-20,1329.8025,1331.6,668.9275,663.525
2018-01-21,1331.6,1331.6,0.0,0.0
2018-01-22,1333.505,1333.98,1335.71,1328.8
2018-01-23,1333.605,1341.0,1341.8,1331.55
2018-01-24,1341.16,1358.5,1361.55,1339.605
2018-01-25,1357.355,1347.5,1366.05,1343.105
2018-01-26,1347.41,1351.875,1357.005,1344.755
2018-01-27,1349.6425,1351.875,1354.44,1348.315
2018-01-28,1351.875,1351.875,1351.875,1351.875
2018-01-29,1350.725,1336.625,1352.255,1335.625
2018-01-30,1341.55,1338.71,1348.55,1334.66
2018-01-31,1337.505,1345.0,1347.355,1333.505
2018-02-01,1343.855,1348.605,1351.005,1337.55
2018-02-02,1347.66,1332.035,1350.105,1327.55
2018-02-03,0.0,1330.5,1330.5,1330.5
2018-02-04,1335.6,1335.5,1335.6,1335.5
2018-02-05,1333.41,1341.0,1341.46,1329.3
2018-02-06,1339.355,1324.65,1346.05,1320.505
2018-02-07,1324.855,1318.6,1332.3,1312.21
2018-02-08,1317.55,1313.78,1321.66,1307.21
2018-02-09,1321.16,1316.25,1322.46,1311.46
2018-02-10,1318.705,1316.25,1319.355,1313.855
2018-02-11,1316.25,1316.25,1316.25,1316.25
2018-02-12,1315.505,1322.71,1326.21,1315.3
2018-02-13,1324.255,1329.16,1330.8,1321.71
2018-02-14,1329.605,1350.44,1355.355,1321.005
2018-02-15,1350.755,1359.875,1359.875,1348.71
2018-02-16,1353.755,1352.4,1361.71,1345.105
2018-02-17,1349.6275,1348.95,1353.605,1345.3025
2018-02-18,1345.5,1345.5,1345.5,1345.5
2018-02-19,1347.21,1347.5,1351.21,1346.105
2018-02-20,1347.91,1325.05,1347.96,1324.015
2018-02-21,1329.755,1323.5,1335.96,1322.605
2018-02-22,1324.505,1331.96,1332.21,1321.005
2018-02-23,1331.91,1328.95,1332.21,1325.91
2018-02-24,1330.43,1328.95,1330.58,1327.43
2018-02-25,1328.95,1328.95,1328.95,1328.95
2018-02-26,1329.71,1328.61,1340.855,1326.755
2018-02-27,1333.255,1318.605,1336.66,1313.71
